"Isotope"	"Halflife"	"Abundance"
"109Nb"	6.02486047691527e-09	NA
"110Nb"	5.39066463723998e-09	NA
"86Mo"	6.21511922881786e-07	NA
"87Mo"	4.24911212582445e-07	NA
"88Mo"	1.5220700152207e-05	NA
"89Mo"	3.88127853881279e-06	NA
"90Mo"	0.000634703196347032	NA
"91Mo"	2.94710806697108e-05	NA
"91m1Mo"	2.0611364789447e-06	NA
"93Mo"	4000	NA
"93m1Mo"	0.000781963470319635	NA
"99Mo"	0.00752739726027397	NA
"100Mo"	1e+19	9.63
"101Mo"	2.7796803652968e-05	NA
"102Mo"	2.14992389649924e-05	NA
"103Mo"	2.14041095890411e-06	NA
"104Mo"	1.90258751902588e-06	NA
"105Mo"	1.12886859462202e-06	NA
"106Mo"	2.66362252663623e-07	NA
"107Mo"	1.10984271943176e-07	NA
"108Mo"	3.45636732623034e-08	NA
"109Mo"	1.68061897513952e-08	NA
"110Mo"	9.51293759512938e-09	NA
"88Tc"	2.02942668696093e-07	NA
"88m1Tc"	1.83916793505835e-07	NA
"89Tc"	4.05885337392187e-07	NA
"89m1Tc"	4.09056316590563e-07	NA
"90Tc"	1.56012176560122e-06	NA
"90m1Tc"	2.75875190258752e-07	NA
"91Tc"	5.97412480974125e-06	NA
"91m1Tc"	6.27853881278539e-06	NA
"92Tc"	8.04794520547945e-06	NA
"93Tc"	0.000313926940639269	NA
"93m1Tc"	8.27625570776256e-05	NA
"94Tc"	0.000557458143074581	NA
"94m1Tc"	9.89345509893455e-05	NA
"95Tc"	0.00228310502283105	NA
"95m1Tc"	0.167123287671233	NA
"96Tc"	0.0117260273972603	NA
"96m1Tc"	9.79832572298326e-05	NA
"97Tc"	2600000	NA
"97m1Tc"	0.246849315068493	NA
"98Tc"	4200000	NA
"99Tc"	211100	NA
"99m1Tc"	0.000686073059360731	NA
"100Tc"	5.0101471334348e-07	NA
"101Tc"	2.70547945205479e-05	NA
"102Tc"	1.67427701674277e-07	NA
"102m1Tc"	8.27625570776256e-06	NA
"103Tc"	1.71867072552004e-06	NA
"104Tc"	3.48173515981735e-05	NA
"105Tc"	1.44596651445967e-05	NA
"106Tc"	1.12886859462202e-06	NA
"107Tc"	6.72247590055809e-07	NA
"108Tc"	1.63939624556063e-07	NA
"109Tc"	2.75875190258752e-08	NA
"110Tc"	2.91730086250634e-08	NA
"111Tc"	9.51293759512938e-09	NA
"112Tc"	8.87874175545409e-09	NA
"90Ru"	3.4880771182141e-07	NA
"91Ru"	2.85388127853881e-07	NA
"91m1Ru"	2.40994419076611e-07	NA
"92Ru"	6.94444444444444e-06	NA
"93Ru"	1.89307458143075e-06	NA
"93m1Ru"	3.42465753424658e-07	NA
"94Ru"	9.85540334855403e-05	NA
"95Ru"	0.000187557077625571	NA
"97Ru"	0.00794520547945205	NA
"103Ru"	0.107561643835616	NA
"105Ru"	0.000506849315068493	NA
"106Ru"	1.02353424657534	NA
"107Ru"	7.13470319634703e-06	NA
"108Ru"	8.65677321156773e-06	NA
"109Ru"	1.09398782343988e-06	NA
"110Ru"	4.62962962962963e-07	NA
"111Ru"	6.72247590055809e-08	NA
"112Ru"	5.5492135971588e-08	NA
"113Ru"	2.53678335870117e-08	NA
"114Ru"	1.68061897513952e-08	NA
"115Ru"	1.26839167935058e-08	NA
"94Rh"	2.23871131405378e-06	NA
"94m1Rh"	8.18112633181126e-07	NA
"95Rh"	9.55098934550989e-06	NA
"95m1Rh"	3.72907153729072e-06	NA
"96Rh"	1.88356164383562e-05	NA
"96m1Rh"	2.87290715372907e-06	NA
"97Rh"	5.84094368340944e-05	NA
"97m1Rh"	8.78995433789954e-05	NA
"98Rh"	1.65525114155251e-05	NA
"98m1Rh"	6.65905631659056e-06	NA
"99Rh"	0.0441095890410959	NA
"99m1Rh"	0.000536529680365297	NA
"100Rh"	0.00237442922374429	NA
"100m1Rh"	8.75190258751903e-06	NA
"101Rh"	3.3	NA
"101m1Rh"	0.0118904109589041	NA
"102Rh"	0.567123287671233	NA
"102m1Rh"	2.9	NA
"103m1Rh"	0.000106773211567732	NA
"104Rh"	1.34132420091324e-06	NA
"104m1Rh"	8.2572298325723e-06	NA
"105Rh"	0.0040365296803653	NA
"105m1Rh"	1.42694063926941e-06	NA
"106Rh"	9.44951801116185e-07	NA
"106m1Rh"	0.00024923896499239	NA
